Платформа	Наша услуга (SMMPlan)	SMMPlan Цена₽	Vexboost ID	Vexboost Название	Vexboost Цена₽	Vex Min	Vex Max	Likedrom ID	Likedrom Название	Likedrom Цена₽	Likedrom Min	Likedrom Max	Likedrom Score	Smmpanel Us ID	Smmpanel Us Название	Smmpanel Us Цена₽	Smmpanel Us Min	Smmpanel Us Max	Smmpanel Us Score	SmmPrime ID	SmmPrime Название	SmmPrime Цена₽	SmmPrime Min	SmmPrime Max	SmmPrime Score	Soc-Proof ID	Soc-Proof Название	Soc-Proof Цена₽	Soc-Proof Min	Soc-Proof Max	Soc-Proof Score	SocRocket ID	SocRocket Название	SocRocket Цена₽	SocRocket Min	SocRocket Max	SocRocket Score	Stream Promotion ID	Stream Promotion Название	Stream Promotion Цена₽	Stream Promotion Min	Stream Promotion Max	Stream Promotion Score	Telegram.shop ID	Telegram.shop Название	Telegram.shop Цена₽	Telegram.shop Min	Telegram.shop Max	Telegram.shop Score
Twitch	Twitch Bits (Стандарт)	125.27	2184	Twitch Bits на ваш канал	83.5129	1000	100000							36303	Twitch | Просмотры канала	171.00	50	500000	2																			71	Bits на Ваш Twitch канал [Cheers | Недорого]	0.78	1000	100000	7						
Telegram	Бусты для каналов (На 14 дней)	24755.46	2083	Telegram Буст канала [14 Дней] [Для частных каналов] 🔒	16503.6382	10	50000							32696	Telegram | Бусты для канала [📢 Публичные] [7 дней / ♻️ Гарантия] [Истории]	7776.70	10	10000	4	1044	1044. TG PREMIUM Boost/Буст ПРИВАТНОГО канала для активации Историй [7 дней]	19356.19	10	50000	6	1663	ᴛɢ Буст для канала на 7 дней ( публичные каналы )	7548.00	10	50000	6							28022	TG Буст [Канал | 7 Дней | 0-6/Ч | 1-2К/Д | Списания Возможны | Без Гарантии]	105.00	10	50000	5						
Telegram	Бусты для каналов (На 30 дней)	49510.91	2082	Telegram Буст канала [30 Дней] [Для частных каналов] 🔒	33007.2764	10	50000							32696	Telegram | Бусты для канала [📢 Публичные] [7 дней / ♻️ Гарантия] [Истории]	7776.70	10	10000	4	1044	1044. TG PREMIUM Boost/Буст ПРИВАТНОГО канала для активации Историй [7 дней]	19356.19	10	50000	6	1663	ᴛɢ Буст для канала на 7 дней ( публичные каналы )	7548.00	10	50000	6							28022	TG Буст [Канал | 7 Дней | 0-6/Ч | 1-2К/Д | Списания Возможны | Без Гарантии]	105.00	10	50000	5						
Telegram	Бусты для каналов (На 7 дней)	16338.6	2085	Telegram Буст канала [7 Дней] [Для частных каналов] 🔒	10892.4012	10	50000							32696	Telegram | Бусты для канала [📢 Публичные] [7 дней / ♻️ Гарантия] [Истории]	7776.70	10	10000	4	1044	1044. TG PREMIUM Boost/Буст ПРИВАТНОГО канала для активации Историй [7 дней]	19356.19	10	50000	6	1663	ᴛɢ Буст для канала на 7 дней ( публичные каналы )	7548.00	10	50000	6							28022	TG Буст [Канал | 7 Дней | 0-6/Ч | 1-2К/Д | Списания Возможны | Без Гарантии]	105.00	10	50000	5						
Twitter (x)	Голоса (Стандарт)	10	1671	Twitter Просмотры видео [Быстрые]	0.5053	100	100000000							31237	Просмотры для видео, IGTV или Reels в Instagram* из Индии 🇮🇳 (Скорость ≈50К в день)	5.70	100	100000000	5	1029	1029. ВК Просмотры Видео/Клипов - Быстрые⭐⭐⭐	9.00	100	100000000	6	273	ɪɢ Просмотры видео с охватом	5.00	100	100000000	5	40	Просмотры - Быстрые ⚡️⚡️ ★	2.00	100	100000000	5	33665	Twitter Просмотры [Пост + Видео | Турция | Дешевые | HQ | 0-15/M | 10M/Д | Списания Возможны | Без Гарантии]	0.02	100	100000000	6						
YouTube	Дизлайки (Дизлайки на комментарии)	957.9	1911	YouTube Дизлайки на видео [Офферы СНГ]	638.6	5	10000							35168	YouTube — Лайки на Видео и Shorts (🌍 СНГ) / 🏆⚡️ Elite (Лучшие на рынке)	475.00	10	70000	3																			968	YouTube Добавление + Пинг видео в поисковые системы [Для занятия SEO позиций | 0-24/Ч]	0.22	1	1	2						
YouTube	Жалобы (Жалобы на видео/канал)	287.55	1865	Yandex Zen Просмотры Видео [120 сек.]	191.7	100	5000							39933	Dzen (Яндекс.Дзен) | Дочитывания (120 сек) [👤 Живые] [РФ 🇷🇺]	1885.75	100	5000	6	109	109. Facebook* просмотры видео(60 сек)	96.61	500	10000000	3	949	ʏᴀ Просмотры видео (120 сек)	196.00	100	100000	4	175	Просмотры - Видео ⚡️⚡️	3.00	100	10000000	2	28859	Просмотры Дзен [Видео/Ролики | Удержание 120 сек | 0-1/Ч | 3К/Д | Списания Возможны | Без Гарантии]	2.01	100	5000	7						
Вконтакте	Заявки в друзья (Премиум)	7481.25	3075	Wibes Репосты в ВКонтакте [Живые]	4987.5	30	1000							37779	Вирусный Пакет для Wibes (Лайки + Репосты + Комменты) | ✅ Живые люди	1805.00	1	1	3	1072	1072. Wibes Лайки живые, медленные	9000.00	5	200	2	100	ᴛᴛ Репосты (сохранения) живые Ru	130.00	10	50000	2							33839	Wibes Лайки [Живые | Вайб/Пост | 0-12/Ч | 50/Д | Списания Возможны | Без Гарантии]	6.53	1	10000	2						
Вконтакте	Заявки в друзья (Стандарт)	7481.25	3075	Wibes Репосты в ВКонтакте [Живые]	4987.5	30	1000							37779	Вирусный Пакет для Wibes (Лайки + Репосты + Комменты) | ✅ Живые люди	1805.00	1	1	3	1072	1072. Wibes Лайки живые, медленные	9000.00	5	200	2	100	ᴛᴛ Репосты (сохранения) живые Ru	130.00	10	50000	2							33839	Wibes Лайки [Живые | Вайб/Пост | 0-12/Ч | 50/Д | Списания Возможны | Без Гарантии]	6.53	1	10000	2						
Вконтакте	Заявки в друзья (Эконом)	7481.25	3075	Wibes Репосты в ВКонтакте [Живые]	4987.5	30	1000							37779	Вирусный Пакет для Wibes (Лайки + Репосты + Комменты) | ✅ Живые люди	1805.00	1	1	3	1072	1072. Wibes Лайки живые, медленные	9000.00	5	200	2	100	ᴛᴛ Репосты (сохранения) живые Ru	130.00	10	50000	2							33839	Wibes Лайки [Живые | Вайб/Пост | 0-12/Ч | 50/Д | Списания Возможны | Без Гарантии]	6.53	1	10000	2						
